DATE,HOUR,TEMPERATURE,NOISE,LUMINOSITY,HR
3/4/2019,12:00:00 AM,24.49,38.031,0.16,69
3/4/2019,12:20:00 AM,24.56,37.253,0.26,68
3/4/2019,12:40:00 AM,24.55,38.18,2.2,68
3/4/2019,1:00:00 AM,24.5,38.242,2.13,67
3/4/2019,1:20:00 AM,24.53,50.062,2.12,68
3/4/2019,1:40:00 AM,24.59,41.095,2.24,68
3/4/2019,2:00:00 AM,24.62,38.031,2.76,66
3/4/2019,2:20:00 AM,24.62,36.105,0.48,63
3/4/2019,2:40:00 AM,24.68,50.051,0.17,58
3/4/2019,3:00:00 AM,24.63,36.172,0.08,61
3/4/2019,3:20:00 AM,24.58,36.271,0.09,60
3/4/2019,3:40:00 AM,24.54,36.522,0.08,62
3/4/2019,4:00:00 AM,24.56,36.238,0.09,62
3/4/2019,4:20:00 AM,24.55,36.238,0.09,55
3/4/2019,4:40:00 AM,24.6,36.271,0.09,58
3/4/2019,5:00:00 AM,24.51,36.875,0.09,53
3/4/2019,5:20:00 AM,24.56,36.461,0.08,54
3/4/2019,5:40:00 AM,24.56,36.367,0.07,56
3/4/2019,6:00:00 AM,24.5,36.461,0.08,53
3/4/2019,6:20:00 AM,24.49,36.583,0.08,55
3/4/2019,6:40:00 AM,24.44,57.999,0.08,53
3/4/2019,7:00:00 AM,25.29,36.398,0.15,58
3/4/2019,7:20:00 AM,24.59,36.43,0.66,60
3/4/2019,7:40:00 AM,24.41,37.38,0.08,63
3/4/2019,8:00:00 AM,24.49,37.576,0.07,64
3/5/2019,12:00:00 AM,24.01,50.996,1.5,69
3/5/2019,12:20:00 AM,23.91,36.613,2.02,68
3/5/2019,12:40:00 AM,24.1,36.613,0.6,69
3/5/2019,1:00:00 AM,24.16,36.43,0.08,65
3/5/2019,1:20:00 AM,24.13,36.335,0.08,64
3/5/2019,1:40:00 AM,24.26,36.271,0.08,63
3/5/2019,2:00:00 AM,24.29,35.863,0.08,65
3/5/2019,2:20:00 AM,24.17,36.003,0.08,63
3/5/2019,2:40:00 AM,24.15,35.899,0.08,62
3/5/2019,3:00:00 AM,23.96,35.863,0.08,62
3/5/2019,3:20:00 AM,24.07,35.863,0.08,60
3/5/2019,3:40:00 AM,24,35.899,0.09,58
3/5/2019,4:00:00 AM,23.98,35.827,0.07,55
3/5/2019,4:20:00 AM,23.88,35.863,0.07,54
3/5/2019,4:40:00 AM,23.85,35.969,0.08,53
3/5/2019,5:00:00 AM,23.83,36.038,0.07,53
3/5/2019,5:20:00 AM,23.85,35.827,0.07,60
3/5/2019,5:40:00 AM,23.8,35.863,0.06,55
3/5/2019,6:00:00 AM,23.7,36.583,0.08,54
3/5/2019,6:20:00 AM,23.69,35.934,0.07,52
3/5/2019,6:40:00 AM,23.43,36.613,0.07,54
3/5/2019,7:00:00 AM,23.49,36.702,0.07,56
3/5/2019,7:20:00 AM,23.45,36.673,0.08,54
3/5/2019,7:40:00 AM,24.3,72.94,0.08,55
3/5/2019,8:00:00 AM,26.25,74.073,0.16,60
3/6/2019,12:00:00 AM,23.67,35.718,0.08,68
3/6/2019,12:20:00 AM,23.47,35.863,0.07,66
3/6/2019,12:40:00 AM,23.37,57.565,0.07,68
3/6/2019,1:00:00 AM,23.49,35.718,0.08,64
3/6/2019,1:20:00 AM,23.38,35.718,0.08,60
3/6/2019,1:40:00 AM,23.31,35.791,0.08,62
3/6/2019,2:00:00 AM,23.36,35.718,0.07,60
3/6/2019,2:20:00 AM,23.43,35.718,0.08,58
3/6/2019,2:40:00 AM,23.4,35.718,0.07,58
3/6/2019,3:00:00 AM,23.38,35.827,0.08,56
3/6/2019,3:20:00 AM,23.44,35.718,0.07,59
3/6/2019,3:40:00 AM,23.44,35.791,0.07,58
3/6/2019,4:00:00 AM,23.46,35.718,0.07,55
3/6/2019,4:20:00 AM,23.35,35.755,0.07,54
3/6/2019,4:40:00 AM,23.23,35.755,0.08,53
3/6/2019,5:00:00 AM,23.36,35.755,0.07,55
3/6/2019,5:20:00 AM,23.16,35.863,0.07,58
3/6/2019,5:40:00 AM,23.25,36.958,0.07,59
3/6/2019,6:00:00 AM,23.19,36.789,0.07,58
3/6/2019,6:20:00 AM,23.18,36.789,0.07,54
3/6/2019,6:40:00 AM,23.04,37.174,0.07,56
3/6/2019,7:00:00 AM,23.05,36.818,0.07,57
3/6/2019,7:20:00 AM,23.11,40.276,0.08,57
3/6/2019,7:40:00 AM,24.6,72.845,0.44,54
