DATE,HOUR,TEMPERATURE,NOISE,LUMINOSITY,HR,LONGDATE
3/4/2019,0:00:00,24.49,38.031,0.16,69,1
3/4/2019,0:20:00,24.56,37.253,0.26,68,2
3/4/2019,0:40:00,24.55,38.18,2.2,68,3
3/4/2019,1:00:00,24.5,38.242,2.13,67,4
3/4/2019,1:20:00,24.53,50.062,2.12,68,5
3/4/2019,1:40:00,24.59,41.095,2.24,68,6
3/4/2019,2:00:00,24.62,38.031,2.76,66,7
3/4/2019,2:20:00,24.62,36.105,0.48,63,8
3/4/2019,2:40:00,24.68,50.051,0.17,58,9
3/4/2019,3:00:00,24.63,36.172,0.08,61,10
3/4/2019,3:20:00,24.58,36.271,0.09,60,11
3/4/2019,3:40:00,24.54,36.522,0.08,62,12
3/4/2019,4:00:00,24.56,36.238,0.09,62,13
3/4/2019,4:20:00,24.55,36.238,0.09,55,14
3/4/2019,4:40:00,24.6,36.271,0.09,58,15
3/4/2019,5:00:00,24.51,36.875,0.09,53,16
3/4/2019,5:20:00,24.56,36.461,0.08,54,17
3/4/2019,5:40:00,24.56,36.367,0.07,56,18
3/4/2019,6:00:00,24.5,36.461,0.08,53,19
3/4/2019,6:20:00,24.49,36.583,0.08,55,20
3/4/2019,6:40:00,24.44,57.999,0.08,53,21
3/4/2019,7:00:00,25.29,36.398,0.15,58,22
3/4/2019,7:20:00,24.59,36.43,0.66,60,23
3/4/2019,7:40:00,24.41,37.38,0.08,63,24
3/4/2019,8:00:00,24.49,37.576,0.07,64,25
